Description,Latitude,Longitude,RackType,RackCount,ShelterIndicator
BUS STOP 25761,1.2751289141025925,103.62406203059385,Yellow Box,10,N
BUS STOP 25771,1.274229882442748,103.63245185567379,Yellow Box,10,N
BUS STOP 25781,1.276256429381092,103.63574230939645,Yellow Box,10,N
TUAS RECREATION CENTRE,1.2702776476011592,103.63390888623327,Yellow Box,10,N
TUAS SOUTH AVENUE 10,1.2862614442120885,103.623538680577,Yellow Box,10,N
TUAS SOUTH AVENUE 7,1.2710205051207306,103.62936757158376,Yellow Box,10,N
TUAS SOUTH AVENUE 16 - CLOSER TO AVENUE 5,1.2651969241940624,103.62137290326353,Yellow Box,30,N
TUAS SOUTH AVENUE 8,1.29285358453298,103.64321871029276,Yellow Box,13,N
BUS STOP 26211,1.2910561538442809,103.63683834238931,Yellow Box,10,N
BUS STOP 26409,1.2891419236762933,103.63023650602895,Yellow Box,10,N
BUS STOP 26419,1.2889161501415796,103.6331276453624,Yellow Box,10,N
BUS STOP 26429,1.288711205419242,103.63592826675242,Yellow Box,10,N
TUAS SOUTH AVENUE 9,1.2802588792677247,103.6363022275495,Yellow Box,10,N
TUAS VIEW LANE INTERSECTION,1.2885339857225162,103.63391576820678,Yellow Box,10,N
BUS STOP 16211,1.279426422110016,103.78356489230258,Yellow Box,10,N
WEST COAST PARK (AREA 1 HARDCOURT),1.2900322206887105,103.76948907592002,Yellow Box,16,N
WEST COAST PARK (BBQ PIT 5),1.2920753727786491,103.76561448142756,NPARKS_RACKS,5,N
140151-1,1.294477492520026,103.8027558773448,HDB_RACKS,6,N
BUKIT MERAH LANE 1 BLOCK 120_YB,1.2864671334802296,103.80438371422836,Yellow Box,17,N
BUKIT MERAH VIEW BLOCK 115_YB,1.2856059883505448,103.82242338196566,Yellow Box,18,N
140154-1,1.2935755216116394,103.80394619672505,HDB_RACKS,3,N
140155-1,1.292930266262073,103.80489523376342,HDB_RACKS,2,N
140155-2,1.293073658666104,103.80489063639263,HDB_RACKS,4,N
DEPOT ROAD BLOCK 103A_YB,1.2808785783421859,103.8133432176186,Yellow Box,15,N
DEPOT ROAD BLOCK 114_YB,1.2816677989712113,103.80714096583702,Yellow Box,15,N
140157-1,1.2930967763713228,103.80400364955554,HDB_RACKS,6,N
140157-2,1.293133780066892,103.80393241448056,HDB_RACKS,6,N
140162-1,1.2923646103175082,103.80269752021405,HDB_RACKS,3,N
140162-2,1.2923612631317731,103.80305381811189,HDB_RACKS,3,N
140167-1,1.2899305856441075,103.80281233360412,HDB_RACKS,4,N
140167-2,1.2900660748428052,103.80239444348395,HDB_RACKS,8,N
JALAN BUKIT MERAH BLOCK 110_A_YB,1.280070228877123,103.82696072030724,Yellow Box,16,N
JALAN BUKIT MERAH BLOCK 110_B_YB,1.2794249560083746,103.82652790230063,Yellow Box,16,N
JALAN BUKIT MERAH BLOCK 112_YB,1.2802363087476523,103.82594900376682,Yellow Box,16,N
JALAN BUKIT MERAH BLOCK 113_YB,1.2803152658530197,103.82588137545535,Yellow Box,16,N
