MRT.Name,Latitude,Longitude,time_difference,distance,steepness,suitability,approximated?,Weighted_Score,rank
CHANGI AIRPORT MRT STATION,1.357478974,103.9878836,33.54666666666667,4.8778,0.06414833317321547,7.986052017305428,0.0,18.82553344719369,0
GARDENS BY THE BAY MRT STATION,1.278487259,103.8674547,29.669999999999998,3.4939999999999998,0.057370155206797877,6.797913840297992,0.0,16.601794056717715,1
JOO KOON MRT STATION,1.327694365,103.6780851,17.429999999333333,3.2196,0.0,6.370841564694195,0.0,11.424753251488688,2
PUNGGOL MRT STATION,1.414927334,103.9101664,12.706666665933332,1.4062,0.19251521113839534,8.202215735300024,0.0,11.343947733499514,3
MARINA SOUTH PIER MRT STATION,1.271027036,103.8624475,16.436666665333334,3.5842,0.04992071881606764,6.735707039975999,0.0,11.241400226232528,4
BAYFRONT MRT STATION,1.281873789,103.8590798,14.403333332666667,2.2763999999999998,0.0,6.434795913140586,0.0,10.453890063579136,5
EXPO MRT STATION,1.335382526,103.9623747,10.610000000133333,1.2292,0.2,7.010456644884796,0.0,9.58652531596117,6
KENT RIDGE MRT STATION,1.293536986,103.7845724,10.231666667333332,2.2689999999999997,0.5009175391741405,7.295170986640687,2.0,9.424911702328469,7
CANBERRA MRT STATION,1.443076641,103.8297026,8.343333333366667,1.2128,0.0,7.780006410397782,3.0,9.318778461664891,8
NEWTON MRT STATION,1.312318922,103.8379846,11.696666666733332,1.0868,0.1964692404316412,5.641886170531642,0.0,8.955168679075483,9
BUKIT GOMBAK MRT STATION,1.358611591,103.7517909,7.683333332733332,1.2816,0.5068121303517991,7.708004148657717,0.0,8.932735438984327,10
KUPANG LRT STATION,1.39821283,103.8812562,6.916666667333333,1.1174,0.2,7.868315627245083,0.0,8.817839168729401,11
ONE-NORTH MRT STATION,1.299689535,103.7874128,9.489999999933334,1.5688,0.0,6.484345698804728,0.0,8.669716559017116,12
KING ALBERT PARK MRT STATION,1.335661613,103.7833991,9.616666667199999,1.2134,0.0,6.221053980781012,0.0,8.58082985150481,13
BUONA VISTA MRT STATION,1.307223708,103.7902535,8.583333333666666,0.7878000000000001,0.0,6.610691836029358,0.0,8.564326802290154,14
MARINA BAY MRT STATION,1.276311144,103.854605,9.230000001399999,2.258,0.08496551724137932,6.5856708969448885,0.0,8.500440166391773,15
KRANJI MRT STATION,1.425086981,103.7621375,11.543333334,2.4669999999999996,0.10441700415752311,5.434801369845193,0.0,8.461332729060404,16
ESPLANADE MRT STATION,1.293657725,103.8550812,10.110000000666666,1.3218,0.0,5.780169527129383,0.0,8.403775621970173,17
DOWNTOWN MRT STATION,1.279446382,103.8528408,6.943333334533333,1.5024000000000002,0.4381773070458608,7.3416365929851795,0.0,8.30634487749689,18
FARMWAY LRT STATION,1.397170196,103.8893048,5.5,0.9676,0.0,7.82167653139485,0.0,8.26382122511588,19
KALLANG MRT STATION,1.31148891,103.8713865,6.2916666667,0.9282,0.0,7.371628566794721,1.0,8.228329520115778,20
TONGKANG LRT STATION,1.389347947,103.8858442,7.818333333,0.89,0.5,6.633935513396994,1.0,8.206481743917596,21
CITY HALL MRT STATION,1.292989907,103.8525426,8.856666666066667,1.3888,0.0,6.099307630196596,0.0,8.144352770583945,22
CLARKE QUAY MRT STATION,1.288710232,103.8466109,8.8366666666,1.0514,0.0,6.016094284124613,0.0,8.13726209393969,23
LENTOR MRT STATION,1.38550658,103.8357438,5.3733333332,0.7752,0.0,7.594199682925447,0.0,8.069653079620357,24
UBI MRT STATION,1.32997426,103.8992267,7.546666666733333,0.8757999999999999,0.2,6.555592547622015,0.0,8.067980704790946,25
TAI SENG MRT STATION,1.335145642,103.8883361,6.473333333399999,1.0866,0.0,7.0569049329310385,0.0,8.01753727970483,26
LORONG CHUAN MRT STATION,1.351639278,103.8639457,6.916666666666667,1.1456,0.0,6.845655374204432,0.0,8.014070966030213,27
NIBONG LRT STATION,1.411854477,103.9003395,5.163333333533334,0.6572,0.0,7.53747744966873,0.0,7.963875293148318,28
SIXTH AVENUE MRT STATION,1.330857645,103.7969068,7.4833333332666685,0.7094,0.2,6.413074882294005,0.0,7.961913239141872,29
CALDECOTT MRT STATION,1.337245613,103.8401618,7.596666666666666,0.9992000000000001,0.2,6.385440759057117,0.0,7.92717927391236,30
SEGAR LRT STATION,1.387785087,103.7695997,4.096666666666667,0.538,0.6,8.057525367738773,0.0,7.917086960857686,31
MATTAR MRT STATION,1.326876715,103.8832475,5.3100000000000005,0.8076000000000001,0.2,7.364029102221468,0.0,7.833703281777176,32
NAPIER MRT STATION,1.306782234,103.8189568,7.509999999600001,1.2876,0.4,6.387336562063351,0.0,7.816349249490682,33
KANGKAR LRT STATION,1.383959117,103.9022254,4.939999999866666,0.6626000000000001,0.2,7.481398159041277,0.0,7.808598527179688,34
RAFFLES PLACE MRT STATION,1.283933262,103.8514631,7.630000000666667,1.3218,0.22019026561545396,6.298217995424848,0.0,7.804195370045,35
BENCOOLEN MRT STATION,1.298918434,103.8503538,6.220000000066666,0.7741999999999999,0.2,6.831043254179733,0.0,7.777994603370454,36
YISHUN MRT STATION,1.429443085,103.835005,5.176666666733333,0.784,0.0,7.311918556654578,0.0,7.763401512016996,37
SHENTON WAY MRT STATION,1.277716828,103.8503676,5.429999998733333,1.4624000000000001,0.4175805047867711,7.381944816188418,0.0,7.743317801965391,38
TELOK BLANGAH MRT STATION,1.270706478,103.8097616,7.773333333333333,0.8862,0.304804280652302,5.9609556435756,0.0,7.670377420128585,39
LABRADOR PARK MRT STATION,1.272227051,103.8027445,8.230000000666667,1.3406,0.09136946980949028,5.816516913448851,0.0,7.6679565840447985,40
TANJONG PAGAR MRT STATION,1.276568292,103.8460067,4.9399999993999995,1.0704,0.11930504603031773,7.3675173811273185,0.0,7.644003400058823,41
HAW PAR VILLA MRT STATION,1.281956887,103.781989,8.590000000733333,1.1564,0.0,5.531252170251561,0.0,7.629721736494582,42
ORCHARD BOULEVARD MRT STATION,1.303623073,103.8236504,5.500000000066667,0.8448,0.8,7.079291886593284,0.0,7.614473509301294,43
SAMUDERA LRT STATION,1.415901722,103.9021563,4.719999999933334,0.6304000000000001,0.0,7.283950275484479,0.0,7.589080220360916,44
JURONG EAST MRT STATION,1.33315262,103.7422865,7.460000000733333,1.2530000000000001,0.0,6.057623979735622,0.0,7.579499184081831,45
PUNGGOL POINT LRT STATION,1.41684852,103.9066508,4.963333333266666,0.6728,0.2,7.12842943214856,0.0,7.533516879025516,46
BARTLEY MRT STATION,1.342501178,103.8801779,6.3966666668,1.0295999999999998,0.0,6.470721549246392,0.0,7.5293239061171136,47
ORCHARD MRT STATION,1.302422248,103.8238685,5.493333333466667,0.756,1.0,6.9565091235995,0.0,7.5113406322662675,48
RUMBIA LRT STATION,1.391468495,103.9059736,3.779999999933333,0.6572,0.0,7.658950733751382,0.0,7.50772058697444,49
SAM KEE LRT STATION,1.409612685,103.9048316,3.973333333266667,1.489,0.365171261731551,7.813835879188799,0.0,7.506084910484551,50
ADMIRALTY MRT STATION,1.440588562,103.8009905,4.0033333334,0.8134,0.4,7.631176105222676,0.0,7.503594217538141,51
RENJONG LRT STATION,1.38670059,103.8906213,5.5066666666,0.6502,0.2,6.790349492208547,0.0,7.484906260406838,52
BRAS BASAH MRT STATION,1.296861686,103.8506674,5.923333333333334,1.0064,0.4,6.693079496401114,0.0,7.482516930454225,53
THANGGAM LRT STATION,1.397318156,103.8756352,4.4366666666,0.8707999999999998,0.6,7.420768771213069,0.0,7.477121683610457,54
KADALOOR LRT STATION,1.399509106,103.916575,3.3800000002,0.6564,0.2,7.834421688538926,0.0,7.468257350911141,55
FORT CANNING MRT STATION,1.292481948,103.8443314,6.920000000066667,0.9193999999999999,0.4,6.107998867295903,0.0,7.430519093863389,56
WOODLANDS NORTH MRT STATION,1.447782173,103.7851355,4.666666666066666,2.814,0.014508081136782732,7.655706570039733,2.0,7.426981114344774,57
PASIR RIS MRT STATION,1.37300805,103.9492651,4.203333332733334,0.9693999999999999,0.0,7.402182423313583,0.0,7.409199271744201,58
SUMANG LRT STATION,1.408452419,103.8985585,3.5566666669333338,0.6044,0.01337189011317744,7.614657852401616,0.0,7.392175759683308,59
HOUGANG MRT STATION,1.371292266,103.8923805,5.17,0.6397999999999999,0.4,6.854886969452775,0.0,7.38394957556222,60
JALAN BESAR MRT STATION,1.305171388,103.8552957,4.823333333266667,0.6188,0.0,6.961970827105479,0.0,7.37514999499105,61
CASHEW MRT STATION,1.369815449,103.7644392,5.583333332666665,1.1204,0.4,6.754172836646925,0.0,7.372591602384207,62
CHENG LIM LRT STATION,1.396277633,103.8937972,3.6600000002,0.7121999999999999,0.0,7.556991625454904,0.0,7.367153300443924,63
GREAT WORLD MRT STATION,1.293316457,103.8339066,6.023333333999999,1.3237999999999999,0.28750735315501336,6.553283166876699,0.0,7.358449131785857,64
BUANGKOK MRT STATION,1.38287002,103.8931226,4.226666666733333,0.6792,0.2,7.26017438527024,0.0,7.3429661749095265,65
BAKAU LRT STATION,1.387994311,103.9054153,3.533333333266667,0.563,0.0,7.5063898231085115,0.0,7.305845191793477,66
CORAL EDGE LRT STATION,1.393909229,103.9125808,2.9500000001333335,0.5704,0.4,7.814192383088286,0.0,7.277273906523963,67
FAJAR LRT STATION,1.384573177,103.7708872,3.453333333333333,0.4664,0.4,7.487439876777249,0.0,7.238005234755133,68
SOMERSET MRT STATION,1.300264167,103.8390858,5.310000000133334,0.9632,0.6,6.694235991891579,0.0,7.226748793566597,69
FARRER PARK MRT STATION,1.3131403,103.8547547,2.55,0.4166,0.2,7.886601367584549,0.0,7.22596109406764,70
BISHAN MRT STATION,1.351315801,103.8491403,4.073333333133334,0.8528,0.0,7.202672458802536,0.0,7.220911300295363,71
WOODLANDS SOUTH MRT STATION,1.427488114,103.7927299,6.063333333266667,0.8068,0.0,6.161326037468411,0.0,7.193034163281396,72
DHOBY GHAUT MRT STATION,1.298655224,103.8461942,5.356666666,1.1623999999999999,0.2,6.61539260457517,0.0,7.182500750060137,73
LITTLE INDIA MRT STATION,1.306800197,103.8496471,3.7733333334,0.6596,0.2,7.272652646824575,0.0,7.175535450819661,74
KAKI BUKIT MRT STATION,1.33496736,103.9084593,5.390000000000001,0.7736,0.0,6.451038938400899,0.0,7.162111150720719,75
OASIS LRT STATION,1.40228668,103.9127274,2.8366666667333336,0.631,0.0,7.635811264237839,0.0,7.117115678083605,76
WOODLEIGH MRT STATION,1.339190045,103.8708183,6.6099999997333345,0.7283999999999999,0.0,5.764717376897864,0.0,7.110093901411625,77
HILLVIEW MRT STATION,1.362344868,103.7674183,4.226666667400001,0.8934000000000001,0.23101456386466532,7.003693428876187,0.0,7.091839953674484,78
TAMPINES EAST MRT STATION,1.356191483,103.9546345,4.5766666666,0.8460000000000001,0.0,6.734179052472133,0.0,7.048809908617707,79
SPRINGLEAF MRT STATION,1.397581061,103.8178569,4.5466666669333335,0.8794000000000001,0.4,6.785163132835782,0.0,7.03091717304196,80
MERIDIAN LRT STATION,1.39691205,103.9089502,2.78,0.6436,0.41422247608167934,7.595765843956893,0.0,7.018470427557347,81
TELOK AYER MRT STATION,1.282068948,103.8486488,3.3099999992666667,0.8766,0.0,7.307772668896623,0.0,6.994898134823966,82
CHOA CHU KANG MRT STATION,1.385363165,103.7443708,3.0700000000000003,0.9334,0.0,7.431213847630394,0.0,6.9862910781043155,83
HOLLAND VILLAGE MRT STATION,1.312240296,103.7963991,5.146666666533333,0.787,0.02485024154589372,6.353647025553599,0.0,6.981699262901623,84
