,Unnamed: 0,Latitude_x,Longitude_x,index_x,join_key,Latitude_y,Longitude_y,index_y,euclidean_distance,coordinate_pair,distance,duration,centroid_name,MRT_Name
0,0,1.4388077562480677,103.80305139967076,246,A,1.440588562,103.8009905,12,0.3028076002854148,"coordinate_pair(lat_x=1.4388077562480677, lon_x=103.80305139967076, lat_y=1.440588562, lon_y=103.8009905)",0.436,3.066666666666667,WOODLANDS GALAXY COMMUNITY CLUB,ADMIRALTY MRT STATION
1,1,1.4437277903544683,103.80132464715813,204,A,1.440588562,103.8009905,12,0.3510369109979189,"coordinate_pair(lat_x=1.4437277903544683, lon_x=103.80132464715813, lat_y=1.440588562, lon_y=103.8009905)",1.135,7.216666666666667,788B WOODLANDS CRESCENT,ADMIRALTY MRT STATION
2,2,1.440681641599151,103.79773334236516,32,A,1.440588562,103.8009905,12,0.3622128251488156,"coordinate_pair(lat_x=1.440681641599151, lon_x=103.79773334236516, lat_y=1.440588562, lon_y=103.8009905)",0.414,2.9833333333333334,710 WOODLANDS DRIVE 70,ADMIRALTY MRT STATION
3,3,1.435566123626416,103.7984696563486,123,A,1.440588562,103.8009905,12,0.6248278070938873,"coordinate_pair(lat_x=1.435566123626416, lon_x=103.7984696563486, lat_y=1.440588562, lon_y=103.8009905)",1.422,8.9,662 WOODLANDS RING ROAD,ADMIRALTY MRT STATION
4,4,1.4431417600860352,103.80693659397264,104,A,1.440588562,103.8009905,12,0.7193587147852767,"coordinate_pair(lat_x=1.4431417600860352, lon_x=103.80693659397264, lat_y=1.440588562, lon_y=103.8009905)",0.91,6.883333333333334,688B WOODLANDS DRIVE 75,ADMIRALTY MRT STATION
5,5,1.3153924704740427,103.88324168111036,39,A,1.316432612,103.882906,9,0.121529328744361,"coordinate_pair(lat_x=1.3153924704740427, lon_x=103.88324168111036, lat_y=1.316432612, lon_y=103.882906)",0.104,0.6333333333333333,58A LORONG 25A GEYLANG,ALJUNIED MRT STATION
6,5,1.3197570291249976,103.88524398979668,156,A,1.316432612,103.882906,9,0.4518819145630948,"coordinate_pair(lat_x=1.3197570291249976, lon_x=103.88524398979668, lat_y=1.316432612, lon_y=103.882906)",1.075,6.85,108 ALJUNIED CRESCENT,ALJUNIED MRT STATION
7,6,1.311906912233224,103.88248663696145,122,A,1.316432612,103.882906,9,0.5053895806342504,"coordinate_pair(lat_x=1.3119069122332239, lon_x=103.88248663696145, lat_y=1.316432612, lon_y=103.882906)",0.658,5.566666666666666,25 LORONG 22 GEYLANG,ALJUNIED MRT STATION
8,6,1.3171248251194296,103.87774943658016,9,A,1.316432612,103.882906,9,0.5783767895476879,"coordinate_pair(lat_x=1.3171248251194296, lon_x=103.87774943658017, lat_y=1.316432612, lon_y=103.882906)",0.974,6.083333333333333,PAN-I COMPLEX,ALJUNIED MRT STATION
9,7,1.313565514601674,103.88772647647792,207,A,1.316432612,103.882906,9,0.6235349378948157,"coordinate_pair(lat_x=1.313565514601674, lon_x=103.88772647647792, lat_y=1.316432612, lon_y=103.882906)",1.014,6.416666666666667,GEYLANG CONSERVATION AREA,ALJUNIED MRT STATION
10,10,1.3662038012058704,103.8486010062186,12,A,1.369428557,103.8494552,52,0.3709360287763483,"coordinate_pair(lat_x=1.3662038012058704, lon_x=103.8486010062186, lat_y=1.369428557, lon_y=103.8494552)",0.598,4.116666666666666,TECK GHEE EVERGREEN,ANG MO KIO MRT STATION
11,11,1.3733699031048503,103.84966699365252,249,A,1.369428557,103.8494552,52,0.4388896289807942,"coordinate_pair(lat_x=1.3733699031048503, lon_x=103.84966699365253, lat_y=1.369428557, lon_y=103.8494552)",2.748,17.483333333333334,CHENG SAN CREST,ANG MO KIO MRT STATION
12,12,1.3709738116242185,103.84511535366347,182,A,1.369428557,103.8494552,52,0.5121164252029159,"coordinate_pair(lat_x=1.3709738116242183, lon_x=103.84511535366347, lat_y=1.369428557, lon_y=103.8494552)",1.123,7.433333333333334,124 ANG MO KIO AVENUE 6,ANG MO KIO MRT STATION
13,13,1.372266947456476,103.8535672481216,233,A,1.369428557,103.8494552,52,0.5554820723214764,"coordinate_pair(lat_x=1.372266947456476, lon_x=103.8535672481216, lat_y=1.369428557, lon_y=103.8494552)",3.313,21.05,PARK CENTRAL @ AMK,ANG MO KIO MRT STATION
14,14,1.3662625430688309,103.84369091606789,180,A,1.369428557,103.8494552,52,0.7311155609279517,"coordinate_pair(lat_x=1.3662625430688309, lon_x=103.84369091606789, lat_y=1.369428557, lon_y=103.8494552)",0.907,5.75,206 ANG MO KIO AVENUE 1,ANG MO KIO MRT STATION
15,15,1.3871543749976811,103.90472237219862,14,A,1.387994311,103.9054153,115,0.1210626241817784,"coordinate_pair(lat_x=1.3871543749976811, lon_x=103.90472237219862, lat_y=1.387994311, lon_y=103.9054153)",0.727,4.75,RIVERVALE BANK,BAKAU LRT STATION
16,16,1.3899114203180352,103.90844068671731,145,A,1.387994311,103.9054153,115,0.3981786936781376,"coordinate_pair(lat_x=1.3899114203180352, lon_x=103.90844068671731, lat_y=1.387994311, lon_y=103.9054153)",0.559,3.65,RIVERVALE DELTA,BAKAU LRT STATION
17,17,1.3886487385831454,103.90167419669775,274,A,1.387994311,103.9054153,115,0.4221881680540804,"coordinate_pair(lat_x=1.3886487385831454, lon_x=103.90167419669775, lat_y=1.387994311, lon_y=103.9054153)",1.152,7.333333333333333,COMPASSVALE PLAINS,BAKAU LRT STATION
