,MRT_Name,distance,rank
0,FARRER PARK MRT STATION,0.5734,0
1,PIONEER MRT STATION,0.6006,1
2,TIONG BAHRU MRT STATION,0.6754,2
3,RANGGUNG LRT STATION,0.7018000000000001,3
4,KEMBANGAN MRT STATION,0.7096,4
5,SERANGOON MRT STATION,0.721,5
6,SOO TECK LRT STATION,0.735,6
7,UPPER THOMSON MRT STATION,0.738,7
8,SOUTH VIEW LRT STATION,0.7454,8
9,MAYFLOWER MRT STATION,0.764,9
10,ALJUNIED MRT STATION,0.765,10
11,KOVAN MRT STATION,0.7866000000000001,11
12,LENTOR MRT STATION,0.7894,12
13,RENJONG LRT STATION,0.7912,13
14,HAVELOCK MRT STATION,0.8092,14
15,SENGKANG MRT STATION,0.8198000000000001,15
16,SENGKANG LRT STATION,0.8202,16
17,HOUGANG MRT STATION,0.8216000000000001,17
18,MARYMOUNT MRT STATION,0.8263999999999999,18
19,COMPASSVALE LRT STATION,0.8312000000000002,19
20,PHOENIX LRT STATION,0.8318,20
21,BUKIT PANJANG MRT STATION,0.8358000000000001,21
22,KANGKAR LRT STATION,0.8362,22
23,ROCHOR MRT STATION,0.8416,23
24,FERNVALE LRT STATION,0.8458,24
25,PENDING LRT STATION,0.8568,25
26,SENJA LRT STATION,0.8597999999999999,26
27,ADMIRALTY MRT STATION,0.8634000000000001,27
28,BUGIS MRT STATION,0.8704000000000001,28
29,JELAPANG LRT STATION,0.8748000000000001,29
30,YEW TEE MRT STATION,0.8757999999999999,30
31,BUANGKOK MRT STATION,0.8827999999999999,31
32,LAYAR LRT STATION,0.8865999999999999,32
33,BEAUTY WORLD MRT STATION,0.8884000000000001,33
34,SEMBAWANG MRT STATION,0.8894,34
35,OASIS LRT STATION,0.892,35
36,JALAN BESAR MRT STATION,0.8968,36
37,WOODLEIGH MRT STATION,0.8986000000000001,37
38,TECK WHYE LRT STATION,0.9196000000000002,38
39,SIMEI MRT STATION,0.9199999999999999,39
40,BUKIT PANJANG LRT STATION,0.9263999999999999,40
41,FARRER ROAD MRT STATION,0.9328,41
42,BENCOOLEN MRT STATION,0.9334,42
43,LITTLE INDIA MRT STATION,0.9388,43
44,STEVENS MRT STATION,0.9402000000000001,44
45,BAKAU LRT STATION,0.9404,45
46,SIXTH AVENUE MRT STATION,0.9614,46
47,RUMBIA LRT STATION,0.9614,47
48,BISHAN MRT STATION,0.9734,48
49,BEDOK MRT STATION,0.9772000000000001,49
50,NIBONG LRT STATION,0.9792,50
