centroid_name,Latitude_x,Longitude_x,MRT.Name,Latitude_y,Longitude_y,time_difference,suitability,Weighted_Score
WOODLANDS PARK,1.416601020587262,103.75936800711666,KRANJI MRT STATION,1.425086981,103.7621375,4.133333333333336,5.82520837970864,5.694252593307117
56 JALAN SENYUM,1.3232635413132667,103.9144924273122,KEMBANGAN MRT STATION,1.321038134,103.9129479,2.4333333333333336,7.448327322472329,6.839395191311197
63A JALAN LIM TAI SEE,1.3213040548093986,103.79203541849168,HOLLAND VILLAGE MRT STATION,1.312240296,103.7963991,15.433333333333334,7.200209076817706,11.5523005947875
BRADDELL HEIGHTS ESTATE,1.3478599940641125,103.86470096502856,LORONG CHUAN MRT STATION,1.351639278,103.8639457,8.283333333333335,7.543288714233084,9.100764304719801
THOMSON HILLS ESTATE,1.3806291442438563,103.83277097403868,LENTOR MRT STATION,1.38550658,103.8357438,4.616666666666666,6.760945757997218,7.080823273064442
EAST VIEW GARDEN,1.3449626664098226,103.96153368099714,UPPER CHANGI MRT STATION,1.341739774,103.9614728,1.6166666666666665,5.668982553651381,5.066652709587772
LAKEHOLMZ,1.3429906305323671,103.71682839084389,LAKESIDE MRT STATION,1.344259115,103.7209491,6.283333333333333,5.023772241992882,6.436151126927639
BELGRAVIA VILLAS,1.380342877426117,103.8661956034572,FERNVALE LRT STATION,1.391885892,103.8763086,15.866666666666667,6.882463094919624,11.316437142602368
52C WAK HASSAN DRIVE,1.4609991524931307,103.83940653177515,CANBERRA MRT STATION,1.443076641,103.8297026,25.516666666666676,7.54255456066484,15.627310315198542
BELLE VUE RESIDENCES,1.2969982183665063,103.84211580215772,DHOBY GHAUT MRT STATION,1.298655224,103.8461942,6.9,6.174286830793278,7.398829464634623
MANDARIN PARK,1.345119307274088,103.77164870485284,BEAUTY WORLD MRT STATION,1.34090149,103.7757467,4.15,7.308461201227531,7.214968960982026
90 SENNETT AVENUE,1.3189270147174623,103.93897006214624,TANAH MERAH MRT STATION,1.327310982,103.9464517,-3.383333333333333,6.969487315948199,3.4414565194252265
38 CEYLON ROAD,1.3063466700950923,103.90254174009038,EUNOS MRT STATION,1.319783549,103.9032258,8.533333333333335,7.445403168836411,8.735255868402463
17J JALAN HOCK CHYE,1.3598423712112435,103.88989767417448,KOVAN MRT STATION,1.360179171,103.8850649,6.299999999999999,5.375667111407605,6.684133689126083
42 JALAN MERLIMAU,1.3242605134811591,103.84008451823824,NOVENA MRT STATION,1.320440791,103.8438256,3.9,6.562048162736201,6.593238530188961
CHELSEA VILLAGE,1.278250488759114,103.78999488180052,PASIR PANJANG MRT STATION,1.276213522,103.7913503,1.6333333333333329,7.088197665120743,6.035291465429928
PAVILION PARK,1.3692343810365943,103.75214076080329,TECK WHYE LRT STATION,1.376684679,103.7537122,7.266666666666666,5.770345149876494,7.202742786567862
FABER HILLS,1.3205648683556352,103.75685324426954,CLEMENTI MRT STATION,1.315116253,103.7651915,11.4,6.00390625,9.070125
SOO CHOW GARDEN,1.3535563028820148,103.83048472176228,UPPER THOMSON MRT STATION,1.354416434,103.8328985,1.5,6.968302304657762,6.00444184372621
2A JALAN MELOR,1.331559754032741,103.88395292261411,MATTAR MRT STATION,1.326876715,103.8832475,4.366666666666667,7.603471098690983,7.621043545619454
118 COVE DRIVE,1.2389458633314587,103.83281169946804,HARBOURFRONT MRT STATION,1.265389384,103.8215302,18.883333333333333,,
SPRINGLEAF GARDEN,1.39953272168546,103.82402237229014,SPRINGLEAF MRT STATION,1.397581061,103.8178569,7.216666666666666,7.727353727353727,8.87014964854965
THE RIVERINA,1.3803973900022246,103.9462133598969,PASIR RIS MRT STATION,1.37300805,103.9492651,4.5500000000000025,7.722426707163264,7.512341365730613
CORONATION VILLAGE,1.3231672930657228,103.8043823664824,TAN KAH KEE MRT STATION,1.326392241,103.8065482,4.466666666666667,7.427919856654179,7.49240255199001
SOUTH UNION PARK,1.316171619940868,103.92540339938851,KEMBANGAN MRT STATION,1.321038134,103.9129479,8.433333333333334,7.806265231797147,9.02094551877105
40 CHUAN PLACE,1.361233026417609,103.86771900957037,LORONG CHUAN MRT STATION,1.351639278,103.8639457,11.633333333333336,6.368571701173553,9.422990694272178
25A PONGGOL TWENTY-FOURTH AVENUE,1.4188870676491372,103.90915565533363,PUNGGOL POINT LRT STATION,1.41684852,103.9066508,3.3166666666666678,7.435886402753873,7.095175788869765
120S TANAH MERAH BESAR LANE,1.359280572761867,103.97571765365927,CHANGI AIRPORT MRT STATION,1.357478974,103.9878836,40.23333333333334,8.0,21.452333333333335
4 STARLIGHT ROAD,1.313924550998134,103.85341638537416,FARRER PARK MRT STATION,1.3131403,103.8547547,1.95,8.0,7.019000000000001
SEMBAWANG SPRINGS ESTATE,1.4384310054882588,103.8286479234576,CANBERRA MRT STATION,1.443076641,103.8297026,2.216666666666669,7.211635190281864,6.015174818892159
WESTVILLE,1.353326825327722,103.69844602079726,PIONEER MRT STATION,1.337587011,103.6973216,17.666666666666668,7.378458414417463,12.485033398200638
LUCKY HILL,1.3251158457495726,103.94894253461744,TANAH MERAH MRT STATION,1.327310982,103.9464517,6.183333333333332,5.813168112746274,6.8302678235303524
THE SHAUGHNESSY,1.4170375705616498,103.84668844197296,KHATIB MRT STATION,1.41738337,103.8329799,12.833333333333336,6.875707488104183,10.157899323816682
86A FERNHILL CLOSE,1.3119085296076347,103.8230110771064,NAPIER MRT STATION,1.306782234,103.8189568,10.283333333333337,6.926429224982208,9.203076713319101
107 HUA GUAN AVENUE,1.341800561219109,103.7854322468049,KING ALBERT PARK MRT STATION,1.335661613,103.7833991,11.083333333333332,6.458289237564993,9.328764723385326
29 LORONG 32 GEYLANG,1.313017677064032,103.8872142357648,DAKOTA MRT STATION,1.308547984,103.8890647,4.966666666666667,6.867820035287199,7.316522694896427
PARRY PARK,1.366668287414238,103.87806867339744,KOVAN MRT STATION,1.360179171,103.8850649,9.816666666666666,7.448021124768163,9.595083566481197
390B PASIR PANJANG ROAD,1.291585950421792,103.7722801705502,KENT RIDGE MRT STATION,1.293536986,103.7845724,14.633333333333333,7.522957461174881,11.413409806758626
HAZEL PARK TERRACE,1.3718184873155217,103.76559019138,CASHEW MRT STATION,1.369815449,103.7644392,3.2500000000000004,5.9212527654867255,5.92220221238938
14 PAYA LEBAR CRESCENT,1.3496440184552208,103.88148552473444,BARTLEY MRT STATION,1.342501178,103.8801779,9.68333333333333,5.921397379912663,8.234651237263463
WOODHAVEN,1.4303957689944466,103.7836700776438,WOODLANDS MRT STATION,1.436057617,103.7879388,6.200000000000003,7.0397996273557535,7.770839701884604
VILLA VERDE,1.3912073791833897,103.75057972288384,YEW TEE MRT STATION,1.397297711,103.7473577,9.216666666666669,7.346921371311616,9.24020376371596
GREEN SPRINGS,1.3870193423917911,103.8764298729307,FERNVALE LRT STATION,1.391885892,103.8763086,-4.783333333333335,7.567817519595832,3.5903206823433313
10 CHATSWORTH PARK,1.2974406444129436,103.82108972058792,ORCHARD MRT STATION,1.302422248,103.8238685,11.633333333333333,7.243386243386244,10.097442328042328
29 LORONG KISMIS,1.337736450101481,103.77009659015964,BEAUTY WORLD MRT STATION,1.34090149,103.7757467,7.3,6.806496612196094,8.074597289756875
LE CONNEY PARK,1.3125210953871669,103.91212153606556,KEMBANGAN MRT STATION,1.321038134,103.9129479,3.633333333333333,7.947070506454817,7.300989738497187
BEAUTY GARDEN,1.3921769599145275,103.9008110624932,COMPASSVALE LRT STATION,1.394493045,103.9004925,2.8666666666666663,6.6397245011647925,6.319846267598501
SENNETT ESTATE,1.332510374860398,103.87132045382036,POTONG PASIR MRT STATION,1.331879714,103.8690579,1.1833333333333331,7.243780739895929,6.1597579252500765
CORAL PARK,1.353378528049201,103.84331325666524,MARYMOUNT MRT STATION,1.348707263,103.8394231,8.283333333333331,7.668687401159725,9.261683254261113
PRESIDENT GARDENS,1.3863526163980389,103.8374104206586,LENTOR MRT STATION,1.38550658,103.8357438,1.9666666666666668,8.0,7.134466666666667
57 KHEAM HOCK ROAD,1.3271135413671489,103.82057336781185,BOTANIC GARDENS MRT STATION,1.322113736,103.8149845,-12.68333333333333,7.296132699655205,0.250672257944275
1 WALTON ROAD,1.300195781686011,103.89307545636744,DAKOTA MRT STATION,1.308547984,103.8890647,8.433333333333334,8.0,9.467133333333333
MOUNT SINAI,1.3160006937633266,103.78012181557916,DOVER MRT STATION,1.311405293,103.7786378,-5.383333333333331,5.639842287070099,1.7591736489897083
CABANA,1.3883674089435187,103.85576072032492,YIO CHU KANG MRT STATION,1.381498825,103.8451707,12.816666666666665,5.384321377886724,8.787923768976045
112 BUKIT TERESA ROAD,1.276109748439469,103.82543108590076,TIONG BAHRU MRT STATION,1.286102536,103.8274451,0.9000000000000021,6.220500595947558,4.402252414664621
HILLCREST PARK,1.3350222894908823,103.80718740491612,TAN KAH KEE MRT STATION,1.326392241,103.8065482,10.583333333333332,6.526165931973723,8.859925950955674
26 LORONG 104 CHANGI,1.3156612153560117,103.90218049961896,EUNOS MRT STATION,1.319783549,103.9032258,-0.8666666666666671,6.857542420287151,4.806367269563054
CHANGI HEIGHTS,1.3631127480320235,103.97165033861512,CHANGI AIRPORT MRT STATION,1.357478974,103.9878836,29.46666666666667,7.974477927395021,17.136049008582685
SERANGOON GARDEN ESTATE,1.3667802610044684,103.86583214385008,LORONG CHUAN MRT STATION,1.351639278,103.8639457,13.716666666666663,7.165127058746178,10.756768313663608
114 JALAN CHEMPAKA KUNING,1.332759156205627,103.9486514749848,TANAH MERAH MRT STATION,1.327310982,103.9464517,6.616666666666666,7.566555218890397,8.480510841778985
15 HOLLAND HILL,1.3096196907901163,103.80044016191984,HOLLAND VILLAGE MRT STATION,1.312240296,103.7963991,6.133333333333334,5.935841278021128,6.940581234977289
20 JUBILEE ROAD,1.3057541921742006,103.76601023755128,CLEMENTI MRT STATION,1.315116253,103.7651915,-32.66666666666667,6.741952866791206,-9.348304373233706
FUYONG ESTATE,1.358665686256995,103.76814331189205,HILLVIEW MRT STATION,1.362344868,103.7674183,0.2666666666666666,7.357227289961416,5.873341216703467
WATERFRONT WAVES,1.337851571386611,103.9294147987098,BEDOK RESERVOIR MRT STATION,1.33660783,103.9322346,-0.5,6.118749330763466,4.355999464610774
TAI HWAN GARDEN,1.3575748576528897,103.86156738337507,LORONG CHUAN MRT STATION,1.351639278,103.8639457,7.899999999999999,6.388949010121588,8.03355920809727
11A JALAN HAJI SALAM,1.320436712092076,103.95307713428257,BEDOK MRT STATION,1.320401487,103.9571838,10.25,7.264382016436589,9.798705613149274
HORIZON GREEN,1.3757908319430627,103.83276481718168,MAYFLOWER MRT STATION,1.371463188,103.8365678,5.95,7.511200081086559,8.148960064869248
97 YUNNAN DRIVE 3,1.3371371077831185,103.69153200138288,PIONEER MRT STATION,1.337587011,103.6973216,6.066666666666666,7.93550846165574,8.58707343599126
JALAN KAYU ESTATE,1.3964939890159036,103.87337971932882,THANGGAM LRT STATION,1.397318156,103.8756352,4.699999999999999,6.983490566037736,7.327992452830189
HILLVIEW GARDEN ESTATE,1.359690263530062,103.76208564928636,HILLVIEW MRT STATION,1.362344868,103.7674183,5.983333333333334,7.294519630175534,8.03554903747376
TAI KENG VILLAS,1.3471210956035349,103.88205335451408,BARTLEY MRT STATION,1.342501178,103.8801779,9.116666666666667,5.853875398577386,8.036766985528576
SHAMROCK PARK,1.3254400782660856,103.79481947845022,SIXTH AVENUE MRT STATION,1.330857645,103.7969068,6.933333333333333,5.549500577563363,7.006333795384024
PEOPLE'S GARDEN,1.3684161557458805,103.88896595458208,HOUGANG MRT STATION,1.371292266,103.8923805,1.583333333333334,6.347232961449243,5.475119702492728
HOCK SWEE HILL,1.386865368681909,103.86405185133285,FERNVALE LRT STATION,1.391885892,103.8763086,16.21666666666667,6.527408761847899,11.169393676144988
113 HIGHLAND ROAD,1.3598625244205305,103.8809148997139,KOVAN MRT STATION,1.360179171,103.8850649,3.6000000000000005,6.904623858530223,6.838699086824179
260 OCEAN DRIVE,1.2483307630713198,103.84490677628352,TANJONG PAGAR MRT STATION,1.276568292,103.8460067,55.66666666666667,,
RIZ HAVEN,1.3796066813455992,103.9628126942197,PASIR RIS MRT STATION,1.37300805,103.9492651,13.633333333333333,7.962693958402113,11.419688500055024
MONTROSE TERRACE,1.321831180299595,103.83629017905425,NOVENA MRT STATION,1.320440791,103.8438256,6.050000000000001,6.772476289463428,7.548381031570743
ONE-TWO-SIX CAIRNHILL ART CENTRE,1.3078093119175944,103.837652620218,NEWTON MRT STATION,1.312318922,103.8379846,9.033333333333331,5.544246587724849,7.774593666739135
40 LORONG 6 GEYLANG,1.310262916084899,103.87658068445631,KALLANG MRT STATION,1.31148891,103.8713865,7.683333333333334,7.840023847376789,9.173352411234765
HIGHGATE PARK,1.3401386790596097,103.7659975397597,BEAUTY WORLD MRT STATION,1.34090149,103.7757467,9.849999999999998,7.108402900493572,9.272122320394859
HARVEY VIEW,1.339998747891644,103.95457213826376,SIMEI MRT STATION,1.343197079,103.9533772,-1.466666666666666,7.686746987951807,5.1995309236947795
THE INGLEWOOD,1.361442640852855,103.82967835725042,BRIGHT HILL MRT STATION,1.363846766,103.8338992,5.916666666666667,5.686339248865044,6.700338065758702
GOODLINK PARK,1.427091447215155,103.82518294734936,YISHUN MRT STATION,1.429443085,103.835005,9.033333333333331,6.178133635655071,8.12964024185739
MASJID TAHA,1.3134996836578263,103.89809548103662,PAYA LEBAR MRT STATION,1.31719912,103.8923649,5.15,7.200549580707822,7.611439664566258
THE MORNINGTON,1.3259415093834075,103.86392200132067,BOON KENG MRT STATION,1.319939577,103.8620527,3.8500000000000014,7.460067838421216,7.278654270736974
SEASIDE PARK,1.3095197416801578,103.92010624929908,KEMBANGAN MRT STATION,1.321038134,103.9129479,11.166666666666666,7.932791824970524,10.419700126643086
BLISS VILLE,1.3236372509573011,103.9090830960463,KEMBANGAN MRT STATION,1.321038134,103.9129479,3.6000000000000005,7.397531521932161,7.16362521754573
CHURCH OF SAINT BERNADETTE,1.2951679984053348,103.8305613678419,GREAT WORLD MRT STATION,1.293316457,103.8339066,4.433333333333334,6.388132164531355,6.622639064958419
WATTEN ESTATE,1.3286446152379805,103.80813072047556,TAN KAH KEE MRT STATION,1.326392241,103.8065482,5.383333333333335,6.26856278366112,6.73218356026223
CLEMENTI GREEN,1.3234538562732356,103.77351745930972,CLEMENTI MRT STATION,1.315116253,103.7651915,10.8,6.276609368774546,8.931087495019638
WESTLAKE GARDENS,1.3440071633447268,103.83740002864091,MARYMOUNT MRT STATION,1.348707263,103.8394231,3.716666666666666,5.74603021845828,5.802690841433291
THE INTERLACE,1.2823633652133413,103.80281235602114,LABRADOR PARK MRT STATION,1.272227051,103.8027445,12.9,6.906120175458955,10.444296140367165
LUXUS HILLS,1.3806794076128055,103.874239174585,FERNVALE LRT STATION,1.391885892,103.8763086,10.233333333333334,7.362616567760687,9.317826587541884
SUMMER GREEN,1.3269941725611707,103.84988734898884,TOA PAYOH MRT STATION,1.332596728,103.8475773,-7.549999999999997,6.610195308194127,1.3755562465553028
FORESTVILLE,1.4320230193468555,103.79948334428713,WOODLANDS SOUTH MRT STATION,1.427488114,103.7927299,12.116666666666667,7.091523605150214,10.314485550786838
KIM LIN PARK,1.3016003809556675,103.82834857265608,ORCHARD MRT STATION,1.302422248,103.8238685,5.783333333333333,6.915412865774197,7.581063625952692
36 JALAN RINDU,1.3455592283644315,103.8771826174814,BARTLEY MRT STATION,1.342501178,103.8801779,7.050000000000001,6.934753891218196,8.259203112974557
4 JALAN TANAH PUTEH,1.3154968296676028,103.93029436838448,KEMBANGAN MRT STATION,1.321038134,103.9129479,-0.5166666666666657,7.5450648570909955,4.758985219006131
177 SPRINGSIDE AVENUE,1.4059719372187545,103.8231157500477,SPRINGLEAF MRT STATION,1.397581061,103.8178569,9.316666666666668,6.559491828967989,8.62546012984106
SERANGOON GARDEN ESTATE,1.363654845210467,103.87149586213847,SERANGOON MRT STATION,1.350633615,103.8727717,11.550000000000002,5.768422023425252,8.910337618740204
BUKIT LOYANG ESTATE,1.3619773682842653,103.96808539671063,TAMPINES EAST MRT STATION,1.356191483,103.9546345,10.833333333333332,7.224118012974318,9.616827743712788
MAYFLOWER GARDENS,1.3720153013011451,103.84006504021464,MAYFLOWER MRT STATION,1.371463188,103.8365678,4.366666666666667,6.652868969454753,6.84876184223047
ELIAS TERRACE,1.372592589354113,103.9418354495314,PASIR RIS MRT STATION,1.37300805,103.9492651,4.266666666666666,7.548369720206597,7.289962442831944
TREVOSE PARK,1.3246167988332689,103.82551579449722,STEVENS MRT STATION,1.320065558,103.8260244,4.733333333333333,6.405753082008219,6.873335798939909
EWART PARK,1.3256099474291432,103.7839705880787,KING ALBERT PARK MRT STATION,1.335661613,103.7833991,20.05,7.995756818556848,14.076605454845481
CHARLTON PARK,1.3541102235754043,103.88057727691928,KOVAN MRT STATION,1.360179171,103.8850649,8.483333333333333,7.535397789505128,9.203051564937436
24 JALAN HAROM SETANGKAI,1.3203344941504862,103.81287672128629,BOTANIC GARDENS MRT STATION,1.322113736,103.8149845,-16.1,6.864782449106362,-1.356057763221052
OPERA ESTATE,1.320553890276538,103.92065283584672,KEMBANGAN MRT STATION,1.321038134,103.9129479,5.383333333333333,7.305841924398624,7.795806872852234
PHOENIX HEIGHTS,1.37714685062571,103.75939380801536,PHOENIX LRT STATION,1.378615451,103.7579956,5.916666666666667,6.507420425698105,7.355003007225151
33L CAMBRIDGE ROAD,1.314240629840023,103.84709000494632,NOVENA MRT STATION,1.320440791,103.8438256,6.149999999999999,6.654301696928028,7.496641357542423
SWISS CLUB PARK,1.3357732123432449,103.78927462104885,KING ALBERT PARK MRT STATION,1.335661613,103.7833991,21.35,6.153076463560335,13.20166117084827
MERA GARDENS,1.3715120988021003,103.77311093269512,PENDING LRT STATION,1.376135743,103.7712612,5.533333333333333,5.40218948229998,6.389684919173318
21A CHAPEL CLOSE,1.3080780562850736,103.90615038097692,EUNOS MRT STATION,1.319783549,103.9032258,-4.483333333333334,7.753700099158984,3.4982267459938536
CARIBBEAN AT KEPPEL BAY,1.2661050219902887,103.81536587687472,HARBOURFRONT MRT STATION,1.265389384,103.8215302,5.366666666666666,5.429285007233687,6.321894672453617
PARADISE PALMS,1.3098439629798673,103.89516830860936,DAKOTA MRT STATION,1.308547984,103.8890647,5.199999999999999,8.0,8.3398
SENNETT ESTATE,1.33175339670753,103.87722994412388,MATTAR MRT STATION,1.326876715,103.8832475,8.95,7.45687952600395,9.329903620803162
BLAIR PLAIN CONSERVATION AREA,1.2762634310158238,103.83678739471937,OUTRAM PARK MRT STATION,1.279739707,103.8395135,3.7666666666666666,6.33345607187569,6.453831524167219
VAUGHAN GARDEN,1.3470773384483872,103.87047093200276,SERANGOON MRT STATION,1.350633615,103.8727717,5.3500000000000005,5.398234428641491,6.308187542913193
KING'S GARDEN,1.3173428645603376,103.80327236393396,FARRER ROAD MRT STATION,1.317439152,103.8073792,4.1000000000000005,5.978995654273298,6.304596523418638
EASTWOOD VILLE,1.322116541635992,103.95695165636846,BEDOK MRT STATION,1.320401487,103.9571838,9.45,6.900723249057303,9.170178599245842
24 SPRINGSIDE GREEN,1.4035673563086484,103.8195209576741,SPRINGLEAF MRT STATION,1.397581061,103.8178569,6.066666666666666,6.085852478839178,7.041748649738009
COMFORT GARDEN,1.3772934061163695,103.7466258610853,KEAT HONG LRT STATION,1.378603251,103.7490557,-3.083333333333333,7.553568453207442,4.57832142923262
ORCHID VILLAGE,1.3321254148358628,103.79998709307344,SIXTH AVENUE MRT STATION,1.330857645,103.7969068,7.699999999999999,6.735935370839011,8.365148296671208
THOMSON PARK,1.3548750915259,103.83539670720786,UPPER THOMSON MRT STATION,1.354416434,103.8328985,3.966666666666667,6.764351967911758,6.891148240996074
27 MIMOSA PLACE,1.3845635150723927,103.85999304085549,YIO CHU KANG MRT STATION,1.381498825,103.8451707,2.3666666666666742,7.364001829261809,5.483868130076117
LENTOR VILLAS,1.390308664916284,103.8348889087312,LENTOR MRT STATION,1.38550658,103.8357438,6.05,7.842068760527098,8.52285500842168
WEST COAST GARDENS,1.3129439806793353,103.7580740818912,CLEMENTI MRT STATION,1.315116253,103.7651915,-27.816666666666663,6.923805194678241,-7.005622510924071
SERANGOON SECONDARY SCHOOL,1.3742897788053947,103.90248537600635,KANGKAR LRT STATION,1.383959117,103.9022254,10.466666666666669,6.396162820845217,9.02399692334284
15 HOW SUN AVENUE,1.34470883227492,103.8806925166405,BARTLEY MRT STATION,1.342501178,103.8801779,6.266666666666667,7.17742260764344,8.08340475278142
442 JOO CHIAT PLACE,1.315484378144803,103.91270494560152,KEMBANGAN MRT STATION,1.321038134,103.9129479,-0.0999999999999996,7.600161320933762,5.68272905674701
10 JALAN ARIF,1.3669953799488448,103.88423324805616,KOVAN MRT STATION,1.360179171,103.8850649,6.083333333333333,7.138110214686177,7.936421505082276
Q BAY RESIDENCES,1.3511871153395747,103.92791426560464,TAMPINES WEST MRT STATION,1.345633658,103.9384925,12.55,7.172016513585304,10.436613210868245
37 FORD AVENUE,1.3138681782657085,103.79509899027504,HOLLAND VILLAGE MRT STATION,1.312240296,103.7963991,4.383333333333333,6.01842593915155,6.454474084654573
D' MANOR,1.3303952790539797,103.94618672775968,TANAH MERAH MRT STATION,1.327310982,103.9464517,4.350000000000001,7.337318462649443,7.522854770119555
16 SUNSET TERRACE,1.3252679312001727,103.76657519634692,CLEMENTI MRT STATION,1.315116253,103.7651915,6.75,6.3526710287838295,7.313536823027064
22 SELETAR CRESCENT,1.3861883346369468,103.8715199506082,FERNVALE LRT STATION,1.391885892,103.8763086,-1.5666666666666664,7.687212696708386,4.903103490700042
SHAMROCK PARK,1.3230149071722097,103.79741719037376,SIXTH AVENUE MRT STATION,1.330857645,103.7969068,10.05,7.253421845058857,9.554337476047086
SEMBAWANG HILLS ESTATE,1.376218861891792,103.827783958022,MAYFLOWER MRT STATION,1.371463188,103.8365678,10.916666666666668,6.930985404515391,9.54525499027898
THE MEADOWS,1.3990216656266123,103.91511715332368,KADALOOR LRT STATION,1.399509106,103.916575,1.25,7.92320057153063,6.724760457224504
HENRY PARK,1.3127543850603405,103.78441397773597,DOVER MRT STATION,1.311405293,103.7786378,-1.25,6.870727529972448,4.513182023977958
TEACHER'S HOUSING ESTATE,1.3809815045412623,103.82964193810872,LENTOR MRT STATION,1.38550658,103.8357438,7.316666666666666,6.865996713919989,8.149664037802658
CLOVER PARK,1.349826827701755,103.84368317489034,MARYMOUNT MRT STATION,1.348707263,103.8394231,4.916666666666667,7.711299892125134,7.895106580366774
52 WILKINSON ROAD,1.302884972105844,103.89168060935548,DAKOTA MRT STATION,1.308547984,103.8890647,-0.8333333333333321,7.513413947037662,5.264797824296798
24S LIM TUA TOW ROAD,1.354825891909779,103.87631192355111,SERANGOON MRT STATION,1.350633615,103.8727717,5.783333333333332,6.047381546134664,6.966438570241065
FRANKEL ESTATE,1.314456315803721,103.91719189172169,KEMBANGAN MRT STATION,1.321038134,103.9129479,1.8666666666666671,7.951458760447879,6.6676336750249705
