MRT.Name,time_difference,distance,steepness,suitability,Weighted_Score,rank
TANJONG PAGAR MRT STATION,38.794444444444444,5.747333333333334,0.0,7.215723873441996,20.140890209864708,0
CHANGI AIRPORT MRT STATION,34.0,5.284,0.0,7.990276706858217,18.935421365486576,1
HARBOURFRONT MRT STATION,21.954761904761906,3.8528571428571428,0.23062920901927447,6.561966020838253,13.23784322910201,2
KENT RIDGE MRT STATION,15.283333333333331,2.33725,0.6279524907551264,7.215363394960567,11.355378800226273,3
KING ALBERT PARK MRT STATION,15.105555555555554,1.5115833333333333,0.0734911727282801,6.495862035250336,10.929246066482996,4
BUKIT GOMBAK MRT STATION,12.744444444444442,1.9266666666666667,0.5778932646670295,7.825433164816552,10.915001649830982,5
QUEENSTOWN MRT STATION,14.075,1.201,0.5,6.694319593591964,10.695255674873572,6
TAMPINES WEST MRT STATION,13.291666666666668,1.7395,0.0,7.095010862810184,10.644775356914813,7
LABRADOR PARK MRT STATION,12.9,1.203,0.0,6.906120175458955,10.444296140367165,8
BEDOK MRT STATION,12.027777777777777,0.847,0.0,7.029058360351887,10.26495779939262,9
CANBERRA MRT STATION,12.104761904761906,2.5677142857142856,0.0,7.381086457964725,10.233231071133686,10
PIONEER MRT STATION,11.3,1.77725,0.0,7.57951161708156,10.228159293665248,11
WOODLANDS SOUTH MRT STATION,11.933333333333335,1.2605,0.0,6.300757272077705,9.5618391509955,12
STADIUM MRT STATION,8.866666666666667,1.684,0.0,7.927519315213162,9.551882118837197,13
TAMPINES EAST MRT STATION,10.983333333333334,2.4103333333333334,0.0,6.962296608122785,9.481103953164896,14
CALDECOTT MRT STATION,9.466666666666667,1.054,1.0,7.405147600747698,9.399984747264826,15
KALLANG MRT STATION,7.683333333333334,0.86,0.0,7.840023847376789,9.173352411234765,16
PASIR RIS MRT STATION,9.133333333333335,2.3228888888888886,0.0,7.33935714707382,9.060241273214613,17
LORONG CHUAN MRT STATION,9.436507936507937,1.525809523809524,0.0,6.983037768036449,9.05587148427043,18
SEMBAWANG MRT STATION,9.816666666666666,1.408,0.0,6.720521771082124,9.021484083532366,19
NEWTON MRT STATION,10.98,1.0166,0.3964692404316412,5.7259608052297555,8.72980172014064,20
HOLLAND VILLAGE MRT STATION,9.198148148148148,1.1537777777777778,0.013805689747718734,6.5996908272403125,8.726875796521183,21
MAYFLOWER MRT STATION,7.6033333333333335,1.1705999999999999,0.1,7.341388439901847,8.670324085254812,22
SIXTH AVENUE MRT STATION,9.15,1.1213076923076923,0.15384615384615385,6.475998599104414,8.601152725437379,23
ADMIRALTY MRT STATION,6.4,0.83,0.0,7.741880146386094,8.587504117108876,24
DAKOTA MRT STATION,6.677777777777778,1.5082,0.0,7.725958460419609,8.550237879446799,25
NAPIER MRT STATION,8.544444444444446,1.4733333333333334,0.3333333333333333,6.774900030757941,8.509697802384132,26
TAI SENG MRT STATION,7.483333333333333,0.682,0.0,6.870213690242239,8.353104285527126,27
BEAUTY WORLD MRT STATION,8.122619047619049,1.1998571428571427,0.8626768426496637,6.771180738852496,8.33975309729322,28
YISHUN MRT STATION,7.6625,2.08825,0.0,7.069955952841519,8.303314762273216,29
FERNVALE LRT STATION,7.583333333333334,2.7948125,0.0,7.2120453127570405,8.244007083538966,30
ANG MO KIO MRT STATION,9.59,2.7286,0.2301454385380695,6.126446144486156,8.168422371735119,31
