Planning Area of Residence,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 & Over
Total,"4,044,210","183,080","198,740","206,390","215,230","244,540","287,000","297,800","299,520","299,290","311,740","296,070","305,830","284,630","229,400","170,010","90,990","66,510","36,590","20,880"
Ang Mo Kio,"162,280","5,280","6,100","7,030","7,600","8,680","10,320","10,490","10,420","11,350","12,410","11,860","12,780","12,730","11,960","9,930","5,770","4,150","2,280","1,130"
Bedok,"276,990","9,790","11,490","12,810","14,080","16,050","18,870","18,360","17,730","19,500","21,090","20,050","21,950","21,860","19,030","15,230","8,020","5,810","3,310","1,970"
Bishan,"87,320","2,790","3,720","4,300","4,630","5,240","6,930","5,730","5,090","5,750","6,720","6,290","6,960","7,130","5,850","4,390","2,430","1,760","1,050",560
Boon Lay,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bukit Batok,"158,030","7,920","6,820","7,690","8,570","9,800","12,480","13,630","10,980","10,660","11,680","11,900","12,500","11,750","9,330","5,800","2,880","1,940","1,130",590
Bukit Merah,"151,250","5,970","6,470","6,670","6,130","6,640","8,890","10,540","10,650","11,750","11,830","10,630","10,670","11,110","10,220","9,130","5,620","4,410","2,400","1,530"
Bukit Panjang,"138,270","6,250","7,090","7,310","8,150","9,290","10,530","10,460","10,100","9,360","10,490","10,100","11,250","10,280","7,370","4,790","2,400","1,670",890,490
Bukit Timah,"77,860","3,130","4,900","4,950","4,850","4,630","4,570","4,120","4,800","5,790","6,730","6,060","5,310","4,950","4,220","3,650","2,160","1,590",920,550
Central Water Catchment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Changi,"1,850",130,140,150,110,100,90,140,150,170,160,130,100,100,70,60,20,20,10,10
Changi Bay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Choa Chu Kang,"192,070","8,990","9,280","10,210","12,090","15,450","16,610","14,430","13,200","12,640","14,130","16,080","16,140","12,760","8,590","5,380","2,680","1,840","1,040",540
Clementi,"91,990","3,760","4,340","4,650","4,470","4,650","5,110","5,920","6,800","7,260","7,420","6,520","6,400","6,080","6,260","5,660","2,960","2,130","1,040",570
Downtown Core,"3,190",110,110,60,100,100,230,330,410,340,330,250,220,190,130,130,50,50,20,60
Geylang,"110,110","3,960","4,270","4,800","4,840","5,750","7,930","8,280","7,810","7,840","8,190","7,850","8,600","8,800","7,300","5,690","3,240","2,580","1,500",890
Hougang,"227,560","9,110","9,450","10,320","11,520","14,160","17,590","17,190","15,470","15,090","16,500","16,610","19,030","18,620","14,540","10,130","5,290","3,790","2,080","1,080"
Jurong East,"78,600","2,510","2,900","3,530","4,160","4,760","5,700","5,370","5,090","5,210","5,860","5,640","6,220","6,680","5,950","4,410","2,050","1,410",750,390
Jurong West,"262,730","10,580","13,000","14,990","16,110","17,400","19,300","18,330","19,890","20,880","21,220","20,120","19,360","17,820","14,550","9,650","4,560","2,820","1,420",730
Kallang,"101,290","3,930","4,130","4,100","4,280","4,560","5,980","7,180","7,290","7,830","8,140","7,320","7,490","7,750","6,930","5,760","3,420","2,760","1,430","1,000"
Lim Chu Kang,110,10,-,10,10,10,10,-,10,-,10,10,10,10,10,10,-,-,-,-
Mandai,"2,090",60,90,120,130,170,170,120,130,140,190,160,180,150,90,80,40,30,20,10
Marina East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marina South,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marine Parade,"46,220","1,890","2,420","2,420","2,360","2,390","2,500","2,390","3,070","3,730","4,150","3,440","3,270","3,020","2,560","2,480","1,550","1,340",750,490
Museum,510,20,30,10,20,20,30,50,70,60,60,40,40,20,20,20,10,-,-,10
Newton,"8,260",380,590,520,380,340,390,470,620,770,850,690,600,470,400,370,160,120,90,60
North-Eastern Islands,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Novena,"49,330","2,170","2,890","2,620","2,270","2,400","2,800","3,270","3,670","4,170","4,330","3,610","3,400","3,070","2,710","2,280","1,410","1,140",710,430
Orchard,920,50,50,60,40,30,30,60,70,90,100,70,50,70,60,50,20,20,-,-
Outram,"18,340",650,800,750,530,680,900,"1,070","1,270","1,500","1,430","1,230","1,400","1,460","1,360","1,250",710,660,340,360
Pasir Ris,"147,110","5,690","6,550","7,700","9,360","12,450","13,400","9,040","8,890","9,790","10,850","13,010","13,830","10,200","6,750","4,330","2,230","1,620",920,520
Paya Lebar,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pioneer,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Punggol,"174,450","16,160","15,330","11,410","8,570","6,820","8,330","17,200","22,190","17,420","14,040","9,290","7,890","6,440","5,370","3,990","1,900","1,190",620,330
