Planning Area of Residence,Subzone,Total,0 - 4,9-May,14-Oct,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 & Over
Total,Total,"4,044,210","183,080","198,740","206,390","215,230","244,540","287,000","297,800","299,520","299,290","311,740","296,070","305,830","284,630","229,400","170,010","90,990","66,510","36,590","20,880"
Ang Mo Kio,Total,"162,280","5,280","6,100","7,030","7,600","8,680","10,320","10,490","10,420","11,350","12,410","11,860","12,780","12,730","11,960","9,930","5,770","4,150","2,280","1,130"
,Ang Mo Kio Town Centre,"4,810",170,240,280,320,270,280,290,330,400,470,370,320,300,250,230,140,100,40,20
,Cheng San,"28,070","1,060","1,040","1,040","1,160","1,330","1,710","2,000","2,150","2,070","2,200","2,050","2,120","2,120","2,170","1,730",960,640,350,180
,Chong Boon,"26,500",860,840,"1,010","1,060","1,310","1,610","1,890","1,730","1,800","1,820","1,900","2,090","2,140","2,100","1,800","1,130",780,430,200
,Kebun Bahru,"22,620",660,810,950,"1,010","1,170","1,420","1,410","1,450","1,620","1,790","1,710","1,800","1,750","1,690","1,430",840,620,340,160
,Sembawang Hills,"6,850",210,310,400,460,500,500,350,310,370,550,540,550,480,410,370,230,150,100,60
,Shangri-La,"15,960",550,560,640,710,860,980,"1,020",990,"1,010","1,210","1,200","1,390","1,270","1,180",960,620,430,250,130
,Tagore,"7,950",210,310,400,450,580,670,490,340,440,580,580,670,730,550,380,210,190,120,60
,Townsville,"21,140",660,860,930,820,890,"1,310","1,400","1,410","1,650","1,560","1,360","1,580","1,660","1,530","1,420",880,680,360,190
,Yio Chu Kang,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Yio Chu Kang East,"4,200",160,170,200,260,310,320,230,240,260,320,290,330,380,260,200,110,80,40,30
,Yio Chu Kang North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Yio Chu Kang West,"24,150",750,950,"1,190","1,350","1,460","1,540","1,400","1,480","1,720","1,910","1,850","1,950","1,910","1,820","1,400",640,480,250,110
Bedok,Total,"276,990","9,790","11,490","12,810","14,080","16,050","18,870","18,360","17,730","19,500","21,090","20,050","21,950","21,860","19,030","15,230","8,020","5,810","3,310","1,970"
,Bayshore,"7,450",340,490,480,450,360,310,360,550,770,860,650,510,400,350,280,130,90,40,50
,Bedok North,"81,840","2,710","3,080","3,440","4,000","4,760","5,620","5,280","5,100","5,670","5,960","6,030","6,950","6,560","5,980","4,920","2,550","1,740",970,540
,Bedok Reservoir,"25,470","1,100","1,270","1,400","1,510","1,490","1,600","1,830","1,900","2,090","2,110","1,920","1,840","1,800","1,550","1,050",470,310,160,80
,Bedok South,"46,690","1,430","1,730","2,120","2,300","2,740","3,130","2,920","2,700","3,050","3,490","3,430","3,730","3,740","3,360","2,820","1,650","1,230",720,410
,Frankel,"34,490","1,460","2,060","2,060","1,810","1,820","2,050","2,000","2,360","2,950","3,180","2,510","2,280","2,110","1,880","1,610",840,750,470,290
,Kaki Bukit,"37,150","1,200","1,250","1,580","1,930","2,510","3,140","2,830","2,280","2,260","2,460","2,450","3,240","3,510","2,740","1,930",820,580,260,190
,Kembangan,"37,460","1,410","1,360","1,480","1,780","2,020","2,620","2,790","2,520","2,290","2,520","2,620","2,940","3,240","2,750","2,140","1,250",860,530,350
,Siglap,"6,440",160,250,260,310,360,400,360,320,430,520,450,460,500,430,480,310,250,140,70
Bishan,Total,"87,320","2,790","3,720","4,300","4,630","5,240","6,930","5,730","5,090","5,750","6,720","6,290","6,960","7,130","5,850","4,390","2,430","1,760","1,050",560
,Bishan East,"28,310",870,"1,130","1,300","1,380","1,470","2,280","2,150","1,730","1,890","2,160","1,880","2,110","2,420","2,090","1,560",820,590,320,150
,Marymount,"29,620","1,010","1,340","1,540","1,680","2,030","2,630","1,840","1,770","1,950","2,240","2,190","2,530","2,360","1,790","1,250",650,450,220,150
,Upper Thomson,"29,390",910,"1,260","1,450","1,560","1,740","2,010","1,740","1,590","1,910","2,330","2,230","2,310","2,350","1,960","1,580",970,720,510,260
Boon Lay,Total,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Liu Fang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Samulun,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Shipyard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tukang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bukit Batok,Total,"158,030","7,920","6,820","7,690","8,570","9,800","12,480","13,630","10,980","10,660","11,680","11,900","12,500","11,750","9,330","5,800","2,880","1,940","1,130",590
,Brickworks,"19,820","2,710","1,200",850,730,660,"2,280","3,540","1,670","1,460","1,280",990,790,640,430,270,140,90,70,20
,Bukit Batok Central,"27,290","1,310","1,230","1,340","1,490","1,560","1,900","2,460","1,950","1,860","1,940","1,960","2,020","2,100","1,750","1,150",570,400,200,120
