,Description,Lat,Lon,RackType,RackCount,ShelterIndicator,geometry,within
1,BUS STOP 25761,1.2751289141025923,103.62406203059383,Yellow Box,10,N,POINT (103.62406203059383 1.2751289141025923),TUAS COAST
2,BUS STOP 25771,1.274229882442748,103.6324518556738,Yellow Box,10,N,POINT (103.6324518556738 1.274229882442748),TUAS COAST
3,BUS STOP 25781,1.276256429381092,103.63574230939643,Yellow Box,10,N,POINT (103.63574230939643 1.276256429381092),TUAS COAST
4,TUAS RECREATION CENTRE,1.2702776476011592,103.63390888623329,Yellow Box,10,N,POINT (103.63390888623329 1.2702776476011592),TUAS COAST
5,TUAS SOUTH AVENUE 10,1.2862614442120883,103.623538680577,Yellow Box,10,N,POINT (103.623538680577 1.2862614442120883),TUAS COAST
6,TUAS SOUTH AVENUE 7,1.2710205051207306,103.62936757158376,Yellow Box,10,N,POINT (103.62936757158376 1.2710205051207306),TUAS COAST
7,TUAS SOUTH AVENUE 16 - CLOSER TO AVENUE 5,1.2651969241940624,103.62137290326352,Yellow Box,30,N,POINT (103.62137290326352 1.2651969241940624),TUAS COAST
8,TUAS SOUTH AVENUE 8,1.29285358453298,103.64321871029276,Yellow Box,13,N,POINT (103.64321871029276 1.29285358453298),TUAS VIEW
9,BUS STOP 26211,1.2910561538442809,103.63683834238932,Yellow Box,10,N,POINT (103.63683834238932 1.2910561538442809),TUAS VIEW
10,BUS STOP 26409,1.289141923676293,103.63023650602896,Yellow Box,10,N,POINT (103.63023650602896 1.289141923676293),TUAS VIEW
11,BUS STOP 26419,1.2889161501415796,103.6331276453624,Yellow Box,10,N,POINT (103.6331276453624 1.2889161501415796),TUAS VIEW
12,BUS STOP 26429,1.288711205419242,103.63592826675242,Yellow Box,10,N,POINT (103.63592826675242 1.288711205419242),TUAS VIEW
13,TUAS SOUTH AVENUE 9,1.2802588792677247,103.6363022275495,Yellow Box,10,N,POINT (103.6363022275495 1.2802588792677247),TUAS COAST
14,TUAS VIEW LANE INTERSECTION,1.2885339857225162,103.63391576820678,Yellow Box,10,N,POINT (103.63391576820678 1.2885339857225162),TUAS COAST
15,BUS STOP 16211,1.279426422110016,103.78356489230258,Yellow Box,10,N,POINT (103.78356489230258 1.279426422110016),PORT
16,WEST COAST PARK (AREA 1 HARDCOURT),1.2900322206887105,103.76948907592002,Yellow Box,16,N,POINT (103.76948907592002 1.2900322206887105),PORT
17,WEST COAST PARK (BBQ PIT 5),1.2920753727786491,103.76561448142756,NPARKS_RACKS,5,N,POINT (103.76561448142756 1.2920753727786491),PORT
18,140151-1,1.294477492520026,103.8027558773448,HDB_RACKS,6,N,POINT (103.8027558773448 1.294477492520026),MEI CHIN
19,BUKIT MERAH LANE 1 BLOCK 120_YB,1.2864671334802296,103.80438371422836,Yellow Box,17,N,POINT (103.80438371422836 1.2864671334802296),ALEXANDRA HILL
20,BUKIT MERAH VIEW BLOCK 115_YB,1.2856059883505448,103.82242338196566,Yellow Box,18,N,POINT (103.82242338196566 1.2856059883505448),HENDERSON HILL
21,140154-1,1.2935755216116394,103.80394619672504,HDB_RACKS,3,N,POINT (103.80394619672504 1.2935755216116394),MEI CHIN
22,140155-1,1.292930266262073,103.80489523376342,HDB_RACKS,2,N,POINT (103.80489523376342 1.292930266262073),MEI CHIN
23,140155-2,1.293073658666104,103.80489063639264,HDB_RACKS,4,N,POINT (103.80489063639264 1.293073658666104),MEI CHIN
24,DEPOT ROAD BLOCK 103A_YB,1.280878578342186,103.8133432176186,Yellow Box,15,N,POINT (103.8133432176186 1.280878578342186),DEPOT ROAD
25,DEPOT ROAD BLOCK 114_YB,1.2816677989712113,103.80714096583702,Yellow Box,15,N,POINT (103.80714096583702 1.2816677989712113),DEPOT ROAD
26,140157-1,1.2930967763713228,103.80400364955554,HDB_RACKS,6,N,POINT (103.80400364955554 1.2930967763713228),MEI CHIN
27,140157-2,1.293133780066892,103.80393241448056,HDB_RACKS,6,N,POINT (103.80393241448056 1.293133780066892),MEI CHIN
28,140162-1,1.2923646103175082,103.80269752021404,HDB_RACKS,3,N,POINT (103.80269752021404 1.2923646103175082),MEI CHIN
29,140162-2,1.2923612631317731,103.80305381811188,HDB_RACKS,3,N,POINT (103.80305381811188 1.2923612631317731),MEI CHIN
