,Name,Description,geometry,within
0,Traffic light,,POINT Z (103.8891266 1.3335877 0),KAMPONG UBI
1,Traffic light,,POINT Z (103.8889677 1.3334046 0),KAMPONG UBI
2,Traffic light,,POINT Z (103.8938049 1.3358634 0),TAI KENG
3,Traffic light,,POINT Z (103.8913075 1.3430204 0),TAI KENG
4,Traffic light,,POINT Z (103.8912681 1.3432557 0),TAI KENG
5,Traffic light,,POINT Z (103.8904394 1.3522358 0),LORONG AH SOO
6,Traffic light,,POINT Z (103.8906298 1.352284 0),DEFU INDUSTRIAL PARK
7,Traffic light,,POINT Z (103.8900134 1.3555969 0),LORONG AH SOO
8,Traffic light,,POINT Z (103.8952661 1.36169 0),DEFU INDUSTRIAL PARK
9,Traffic light,,POINT Z (103.8953734 1.3618562 0),HOUGANG CENTRAL
10,Traffic light (with bicycle crossing),,POINT Z (103.8967633 1.378156 0),HOUGANG CENTRAL
11,Traffic light,,POINT Z (103.892842 1.3799143 0),HOUGANG CENTRAL
12,Traffic light,,POINT Z (103.8885801 1.3819917 0),TRAFALGAR
13,Traffic light,,POINT Z (103.8845161 1.3794884 0),TRAFALGAR
14,Traffic light,,POINT Z (103.8814503 1.379347 0),TRAFALGAR
15,Traffic light,,POINT Z (103.8766193 1.3791006 0),SELETAR HILLS
16,Traffic light,,POINT Z (103.8768803 1.3829414 0),TRAFALGAR
17,Traffic light (with bicycle crossing),,POINT Z (103.8991048 1.4137896 0),SZ2
18,Traffic light,,POINT Z (103.9001921 1.4158057 0),SZ1
19,Traffic light,,POINT Z (103.9261397 1.391596 0),PASIR RIS WEST
20,Traffic light,,POINT Z (103.8588682 1.3768919 0),SELETAR HILLS
21,Traffic light,,POINT Z (103.8580322 1.3765859 0),YIO CHU KANG
22,Traffic light,,POINT Z (103.8547366 1.3759562 0),YIO CHU KANG
23,Traffic light,,POINT Z (103.8509443 1.3763656 0),YIO CHU KANG
24,Traffic light,,POINT Z (103.8476983 1.3768653 0),YIO CHU KANG
25,Traffic light,,POINT Z (103.8448425 1.3773256 0),YIO CHU KANG
26,Traffic light,,POINT Z (103.8446856 1.377215 0),KEBUN BAHRU
27,Traffic light (with bicycle crossing),,POINT Z (103.8502746 1.3570174 0),BISHAN EAST
28,Traffic light,,POINT Z (103.8640866 1.3359169 0),POTONG PASIR
