,PLANNING_A,PLANNING_1,geometry,within
0,,BEDOK,"LINESTRING (103.93919409151586 1.3312814820321204, 103.93934308264669 1.3310917836386604)",BEDOK NORTH
1,,BEDOK,"LINESTRING (103.94052997806516 1.333712801096638, 103.93959856941345 1.3334370074109798)",BEDOK NORTH
2,,BEDOK,"LINESTRING (103.94143191709279 1.3339296158753984, 103.94093992595438 1.333834950773059, 103.94062913582229 1.3337418684004791)",BEDOK NORTH
3,,TAMPINES,"LINESTRING (103.94077215205516 1.3515742207598886, 103.9412386664612 1.3515714868592625)",TAMPINES WEST
4,,TAMPINES,"LINESTRING (103.93802680986119 1.3486408702660633, 103.93798625114586 1.3486533278118873, 103.93753745266379 1.3485994968972406)",TAMPINES WEST
5,,TAMPINES,"LINESTRING (103.93107882979541 1.3510717888244337, 103.93078382640469 1.3512281796013026)",TAMPINES WEST
6,,TAMPINES,"LINESTRING (103.95532767116045 1.3592705250982584, 103.95532772236824 1.359288223465959, 103.9553282598246 1.3593621297349276)",TAMPINES EAST
7,,TAMPINES,"LINESTRING (103.94142660434832 1.349925452216582, 103.94143659622091 1.3498818135505428)",TAMPINES WEST
8,,YISHUN,"LINESTRING (103.83438109346807 1.4345289900643854, 103.83428136018863 1.4344952464865817, 103.83414741470038 1.4344500808022942, 103.83375666782773 1.4343165497867718, 103.83370346920644 1.4342977688732808, 103.83361744670866 1.434266327774213)",YISHUN WEST
9,,TAMPINES,"LINESTRING (103.9472158881721 1.3586419115378934, 103.9471717110446 1.358620450395866, 103.94679685418615 1.358619570107527)",TAMPINES EAST
10,,TAMPINES,"LINESTRING (103.95352910161245 1.3620784656233387, 103.95348193383354 1.3620909771300875, 103.9534193925421 1.3621044037172196, 103.9533985918219 1.3621078937900841)",TAMPINES EAST
11,,TAMPINES,"LINESTRING (103.95531263195569 1.3579460682667241, 103.95531708757714 1.3579747960137898, 103.95533223558922 1.3580110692169598, 103.95533195785985 1.3581171346520173)",TAMPINES EAST
12,,YISHUN,"LINESTRING (103.82975240261602 1.4316237857170186, 103.82976904947847 1.4313579706109016)",YISHUN WEST
13,,TAMPINES,"LINESTRING (103.94024279563763 1.3515730939168407, 103.94039647852856 1.351573768089603, 103.94049158048435 1.3515725782493613)",TAMPINES WEST
14,,YISHUN,"LINESTRING (103.83043429413593 1.4144875056815989, 103.83082453276701 1.4143458049703364)",KHATIB
15,,YISHUN,"LINESTRING (103.83124113682162 1.414176323965196, 103.83125317699613 1.4141703551740445, 103.83127341318752 1.414160324891678)",KHATIB
16,,JURONG WEST,"LINESTRING (103.72472736123882 1.3282684052709117, 103.72471599107143 1.3283272001173567, 103.72469039633127 1.3284996103575493, 103.72467676678718 1.3287323358053194, 103.7246686772752 1.3288313378689947, 103.7246564858264 1.3288900937906016, 103.72463369840186 1.3289335438042045)",TAMAN JURONG
17,,JURONG WEST,"LINESTRING (103.72486022701443 1.3277058223139857, 103.72481093927404 1.3278362256601624, 103.72476299423019 1.3280841465097675)",TAMAN JURONG
18,,YISHUN,"LINESTRING (103.84548738475839 1.4299297660663586, 103.84543930489866 1.429981148655731, 103.84536322676534 1.4300512417746039, 103.84533501005653 1.4300547915511514, 103.84521308681028 1.430168474336587)",YISHUN EAST
