planning_area,person1,person2,person3,person4,person5,person6,person7,person_more_8,year,planningArea
Bedok,17598,23486,19081,17654,10727,4845,2631,1530,2020,BEDOK
Bukit Timah,2464,3889,4412,5121,4515,2179,1295,737,2020,BUKIT TIMAH
Bukit Batok,8445,12574,12465,10873,5868,2553,917,603,2020,BUKIT BATOK
Bukit Merah,14151,17214,11016,9477,5033,1724,819,266,2020,BUKIT MERAH
Central Water Catchment,0,0,0,0,0,0,0,0,2020,CENTRAL WATER CATCHMENT
Downtown Core,681,410,173,130,86,29,27,9,2020,DOWNTOWN CORE
Changi,0,0,0,0,0,0,0,0,2020,CHANGI
Changi Bay,0,0,0,0,0,0,0,0,2020,CHANGI BAY
Lim Chu Kang,0,0,0,0,0,0,0,0,2020,LIM CHU KANG
Boon Lay,0,0,0,0,0,0,0,0,2020,BOON LAY
Western Water Catchment,0,0,0,0,0,0,0,0,2020,WESTERN WATER CATCHMENT
Woodlands,9617,15549,16625,16941,10943,5533,2252,1379,2020,WOODLANDS
Marine Parade,3367,3863,3176,2842,2110,940,418,354,2020,MARINE PARADE
Newton,0,0,0,0,0,0,0,0,2020,NEWTON
North-Eastern Islands,0,0,0,0,0,0,0,0,2020,NORTH-EASTERN ISLANDS
Orchard,0,0,0,0,0,0,0,0,2020,ORCHARD
Pasir Ris,4790,8146,8749,10900,6883,3055,1462,814,2020,PASIR RIS
Pioneer,0,0,0,0,0,0,0,0,2020,PIONEER
Punggol,5375,13023,12453,12781,7856,2972,1248,458,2020,PUNGGOL
Queenstown,8278,10224,7181,5959,3411,1284,500,215,2020,QUEENSTOWN
Sembawang,4310,7162,6744,7466,4158,2097,676,437,2020,SEMBAWANG
Simpang,0,0,0,0,0,0,0,0,2020,SIMPANG
