planning_area,manufacturing,construction,wholesale_retail_trade,transportation_storage,accommodation_food_services,information_communications,financial_insurance_services,real_estate_services,professional_services,admin_support_services,public_admin_education,health_social_services,arts_entertainment_recreation,other_comm_social_personal,others,hotels_restaurants,transport_communications,business_services,other_services_industries,year,planningArea
Bedok,11396,4921,22211,15015,9020,8343,16117,4079,12974,8647,17137,8373,1916,4130,938,,,,,2020,BEDOK
Bukit Timah,2277,751,5438,1170,939,2306,5910,1090,5526,984,5782,3344,411,840,232,,,,,2020,BUKIT TIMAH
Bukit Batok,10254,4254,13634,8346,4966,3817,6058,2396,7084,5356,12469,6467,1323,2932,1123,,,,,2020,BUKIT BATOK
Bukit Merah,5096,2125,11562,6424,6200,3985,8692,2242,7811,5926,9137,4996,1492,2415,601,,,,,2020,BUKIT MERAH
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020,CENTRAL WATER CATCHMENT
Downtown Core,57,35,340,60,76,150,577,68,287,71,110,73,17,32,9,,,,,2020,DOWNTOWN CORE
Changi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020,CHANGI
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020,CHANGI BAY
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020,LIM CHU KANG
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020,BOON LAY
Western Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020,WESTERN WATER CATCHMENT
Woodlands,20793,7858,18793,14158,8469,4901,8672,2841,7657,8857,19575,8987,2213,3511,1417,,,,,2020,WOODLANDS
Marine Parade,1145,554,3638,1437,906,1425,3908,649,2538,997,2635,1249,288,632,127,,,,,2020,MARINE PARADE
Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020,NEWTON
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020,NORTH-EASTERN ISLANDS
Orchard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020,ORCHARD
Pasir Ris,7860,2959,11389,10150,3384,4320,8735,1978,6756,4021,14088,5210,1218,2086,573,,,,,2020,PASIR RIS
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020,PIONEER
Punggol,8534,3793,14687,9459,4923,5396,9420,2547,7762,4237,13660,5827,1735,2861,696,,,,,2020,PUNGGOL
Queenstown,3792,1309,6930,3666,2756,2891,5474,1395,4622,3007,7031,3000,778,1289,362,,,,,2020,QUEENSTOWN
Sembawang,8165,3397,8671,5199,3761,2757,4314,1169,3951,3389,7280,4099,1017,1648,692,,,,,2020,SEMBAWANG
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020,SIMPANG
