planning_area,bus,mrt,mrt_bus,mrt_car,mrt_other,taxi,car,pvt_chartered_bus,lorry_pickup,motorcycle_scooter,others,no_transport_required,other_combi_mrt_or_bus,mrt_lrt_only,mrt_lrt_and_bus,other_combi_mrt_lrt_or_bus,taxi_pvt_hire_car_only,pvt_chartered_bus_van,year,planningArea
Bedok,9837,0,0,0,0,0,8128,0,0,63,596,8299,0,2484,9419,791,434,3615,2020,BEDOK
Bukit Timah,2547,0,0,0,0,0,5697,0,0,7,141,2672,0,998,2383,155,227,1872,2020,BUKIT TIMAH
Bukit Batok,7312,0,0,0,0,0,3444,0,120,100,93,5566,0,1891,6463,341,141,1800,2020,BUKIT BATOK
Bukit Merah,5321,0,0,0,0,0,2867,0,0,80,56,4303,0,1765,4885,306,213,2221,2020,BUKIT MERAH
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,CENTRAL WATER CATCHMENT
Downtown Core,33,0,0,0,0,0,25,0,5,0,0,39,0,52,54,0,0,16,2020,DOWNTOWN CORE
Changi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,CHANGI
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,CHANGI BAY
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,LIM CHU KANG
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,BOON LAY
Western Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,WESTERN WATER CATCHMENT
Woodlands,9383,0,0,0,0,0,3428,0,99,255,305,14819,0,4143,14689,778,309,1457,2020,WOODLANDS
Marine Parade,1940,0,0,0,0,0,1937,0,4,0,76,1701,0,229,1159,68,117,927,2020,MARINE PARADE
Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,NEWTON
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,NORTH-EASTERN ISLANDS
Orchard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,ORCHARD
Pasir Ris,6691,0,0,0,0,0,4399,0,10,166,220,5830,0,1157,8418,438,170,1569,2020,PASIR RIS
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,PIONEER
Punggol,6066,0,0,0,0,0,4992,0,85,136,259,12879,0,2521,4844,3502,165,1623,2020,PUNGGOL
Queenstown,3338,0,0,0,0,0,2091,0,9,9,140,3104,0,1351,2789,121,119,1161,2020,QUEENSTOWN
Sembawang,2941,0,0,0,0,0,2239,0,36,104,144,5642,0,2933,5734,282,80,871,2020,SEMBAWANG
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,SIMPANG
Tampines,11416,0,0,0,0,0,4644,0,74,288,500,9591,0,2897,9549,822,190,3205,2020,TAMPINES
Tanglin,451,0,0,0,0,0,1487,0,0,3,43,685,0,179,397,26,85,728,2020,TANGLIN
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,TUAS
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,WESTERN ISLANDS
Southern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,SOUTHERN ISLANDS
Bukit Panjang,6340,0,0,0,0,0,3159,0,46,129,143,6659,0,1863,5458,2080,102,1342,2020,BUKIT PANJANG
Bishan,2837,0,0,0,0,0,3073,0,37,19,54,2771,0,1345,4010,174,118,931,2020,BISHAN
Ang Mo Kio,6740,0,0,0,0,0,3095,0,27,111,221,5535,0,1426,5523,260,95,1527,2020,ANG MO KIO
Geylang,3640,0,0,0,0,0,1916,0,10,87,139,3164,0,1897,3926,186,84,1059,2020,GEYLANG
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,STRAITS VIEW
Jurong East,4174,0,0,0,0,0,1168,0,23,68,58,2083,0,519,3384,105,53,724,2020,JURONG EAST
Hougang,9819,0,0,0,0,0,4888,0,51,153,336,7841,0,1777,9269,538,292,1612,2020,HOUGANG
Jurong West,13306,0,0,0,0,0,5166,0,74,351,493,13449,0,2565,12893,875,161,2211,2020,JURONG WEST
Choa Chu Kang,6500,0,0,0,0,0,3119,0,77,335,170,9361,0,3090,11826,1817,201,1982,2020,CHOA CHU KANG
Kallang,2482,0,0,0,0,0,1678,0,0,0,99,2599,0,1712,3785,107,113,1515,2020,KALLANG
Mandai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,MANDAI
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,TENGAH
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,MARINA EAST
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,MARINA SOUTH
Museum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,MUSEUM
Novena,1679,0,0,0,0,0,2354,0,5,0,44,1419,0,263,1486,62,107,1047,2020,NOVENA
Outram,389,0,0,0,0,0,236,0,5,5,10,567,0,311,472,16,14,245,2020,OUTRAM
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,PAYA LEBAR
River Valley,180,0,0,0,0,0,564,0,0,0,32,281,0,63,334,11,41,447,2020,RIVER VALLEY
Rochor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,ROCHOR
Seletar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,SELETAR
Sengkang,11197,0,0,0,0,0,5855,0,83,192,487,16950,0,3760,8472,3683,273,2506,2020,SENGKANG
Serangoon,3423,0,0,0,0,0,4014,0,0,53,94,2690,0,1515,5248,284,184,1350,2020,SERANGOON
Clementi,4368,0,0,0,0,0,2990,0,16,52,72,3054,0,568,2909,228,128,1363,2020,CLEMENTI
Toa Payoh,4215,0,0,0,0,0,2466,0,20,100,153,4203,0,1724,4661,147,191,1080,2020,TOA PAYOH
Singapore River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,SINGAPORE RIVER
Sungei Kadut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,SUNGEI KADUT
Yishun,7903,0,0,0,0,0,4109,0,47,244,756,10444,0,2837,9630,466,200,1519,2020,YISHUN
