planning_area,year,hdb_1_and_2_room_flats,hdb_3_room_flats,hdb_4_room_flats,hdb_5_room_and_executive_flats,condominiums_and_other_apartments,landed_properties,others,total_hdb,total,planningArea
Bedok,2020,9630,54710,66310,44970,54850,43870,2650,175620,276990,BEDOK
Bukit Timah,2020,190,900,2510,3430,37100,32790,940,7030,77860,BUKIT TIMAH
Bukit Batok,2020,6050,28300,56090,34310,26500,5760,1030,124750,158030,BUKIT BATOK
Bukit Merah,2020,21550,35250,48210,30040,14160,460,1600,135050,151250,BUKIT MERAH
Central Water Catchment,2020,0,0,0,0,0,0,0,0,0,CENTRAL WATER CATCHMENT
Downtown Core,2020,0,0,610,0,2290,0,290,610,3190,DOWNTOWN CORE
Changi,2020,0,360,0,10,10,340,1140,360,1850,CHANGI
Changi Bay,2020,0,0,0,0,0,0,0,0,0,CHANGI BAY
Lim Chu Kang,2020,0,0,0,0,0,0,110,0,110,LIM CHU KANG
Boon Lay,2020,0,0,0,0,0,0,0,0,40,BOON LAY
Western Water Catchment,2020,0,0,0,0,0,0,640,0,640,WESTERN WATER CATCHMENT
Woodlands,2020,10710,19690,103960,101610,17400,700,1060,235970,255130,WOODLANDS
Marine Parade,2020,3270,6140,4730,5330,17070,9250,430,19470,46220,MARINE PARADE
Newton,2020,0,0,0,0,7440,580,240,0,8260,NEWTON
North-Eastern Islands,2020,0,0,0,0,0,0,0,0,50,NORTH-EASTERN ISLANDS
Orchard,2020,0,0,0,0,830,0,90,0,920,ORCHARD
Pasir Ris,2020,1420,890,38800,61510,36780,7110,610,102620,147110,PASIR RIS
Pioneer,2020,0,0,0,0,0,0,0,0,80,PIONEER
Punggol,2020,9290,14540,70500,57240,22330,310,250,151570,174450,PUNGGOL
Queenstown,2020,7670,29740,27570,14060,11910,3540,1460,79040,95930,QUEENSTOWN
Sembawang,2020,6840,4490,36860,38890,10860,3880,820,87080,102640,SEMBAWANG
